arch,suite,op,engine,median_ms
amd,kv,insert,lmdb,2.3965
amd,kv,insert,redb,5.4162
amd,kv,insert,sqlite,7.3277
amd,kv,insert,worktable,12.0358
amd,kv,insert,worktable-arctic,10.1788
amd,kv,insert,worktable-congee,10.176
amd,kv,overwrite,lmdb,3.1976
amd,kv,overwrite,redb,5.3524
amd,kv,overwrite,sqlite,5.3738
amd,kv,overwrite,worktable,15.9292
amd,kv,overwrite,worktable-arctic,13.4574
amd,kv,overwrite,worktable-congee,13.853
amd,kv,point_read,lmdb,2.3217
amd,kv,point_read,redb,2.3664
amd,kv,point_read,sqlite,3.9576
amd,kv,point_read,worktable,2.3306
amd,kv,point_read,worktable-arctic,1.3848
amd,kv,point_read,worktable-congee,1.5325
amd,kv,range_scan,lmdb,0.9114
amd,kv,range_scan,redb,2.4927
amd,kv,range_scan,sqlite,2.7551
amd,kv,range_scan,worktable,2.5582
amd,kv,range_scan,worktable-arctic,2.6716
amd,kv,range_scan,worktable-congee,2.7843
amd,kv_json,insert,lmdb-json,21.5816
amd,kv_json,insert,redb-json,173.6673
amd,kv_json,insert,worktable,12.5502
amd,kv_json,insert,worktable-arctic,10.7449
amd,kv_json,insert,worktable-congee,10.7984
amd,kv_json,point_get,lmdb-json,3.7161
amd,kv_json,point_get,redb-json,3.6739
amd,kv_json,point_get,worktable,2.0181
amd,kv_json,point_get,worktable-arctic,1.0697
amd,kv_json,point_get,worktable-congee,1.2852
amd,kv_json,query_field,lmdb-json,1.8231
amd,kv_json,query_field,redb-json,2.2739
amd,kv_json,query_field,worktable,1.539
amd,kv_json,query_field,worktable-arctic,1.5145
amd,kv_json,query_field,worktable-congee,1.7969
amd,kv_json,update_field,lmdb-json,25.8075
amd,kv_json,update_field,redb-json,181.919
amd,kv_json,update_field,worktable,52.8315
amd,kv_json,update_field,worktable-arctic,50.0272
amd,kv_json,update_field,worktable-congee,49.4372
arm,kv,insert,lmdb,2.464
arm,kv,insert,redb,7.1838
arm,kv,insert,sqlite,9.9472
arm,kv,insert,worktable,16.5887
arm,kv,insert,worktable-arctic,13.3537
arm,kv,insert,worktable-congee,13.7052
arm,kv,overwrite,lmdb,3.0311
arm,kv,overwrite,redb,6.948
arm,kv,overwrite,sqlite,5.2451
arm,kv,overwrite,worktable,23.5079
arm,kv,overwrite,worktable-arctic,20.9167
arm,kv,overwrite,worktable-congee,21.8329
arm,kv,point_read,lmdb,2.3459
arm,kv,point_read,redb,2.5422
arm,kv,point_read,sqlite,4.2773
arm,kv,point_read,worktable,2.5159
arm,kv,point_read,worktable-arctic,1.8842
arm,kv,point_read,worktable-congee,1.8437
arm,kv,range_scan,lmdb,1.2357
arm,kv,range_scan,redb,2.5948
arm,kv,range_scan,sqlite,3.2228
arm,kv,range_scan,worktable,3.3528
arm,kv,range_scan,worktable-arctic,3.8613
arm,kv,range_scan,worktable-congee,3.7665
arm,kv_json,insert,lmdb-json,31.5197
arm,kv_json,insert,redb-json,238.7068
arm,kv_json,insert,worktable,18.1206
arm,kv_json,insert,worktable-arctic,15.1302
arm,kv_json,insert,worktable-congee,15.2347
arm,kv_json,point_get,lmdb-json,3.9878
arm,kv_json,point_get,redb-json,3.9489
arm,kv_json,point_get,worktable,2.1741
arm,kv_json,point_get,worktable-arctic,1.4268
arm,kv_json,point_get,worktable-congee,1.4355
arm,kv_json,query_field,lmdb-json,1.9275
arm,kv_json,query_field,redb-json,2.9075
arm,kv_json,query_field,worktable,1.9592
arm,kv_json,query_field,worktable-arctic,2.068
arm,kv_json,query_field,worktable-congee,2.2785
arm,kv_json,update_field,lmdb-json,36.3021
arm,kv_json,update_field,redb-json,244.8902
arm,kv_json,update_field,worktable,69.7125
arm,kv_json,update_field,worktable-arctic,68.2838
arm,kv_json,update_field,worktable-congee,67.5275
budget,kv,insert,lmdb,4.3988
budget,kv,insert,redb,12.4069
budget,kv,insert,sqlite,17.8409
budget,kv,insert,worktable,24.0114
budget,kv,insert,worktable-arctic,18.7704
budget,kv,insert,worktable-congee,19.5024
budget,kv,overwrite,lmdb,5.2631
budget,kv,overwrite,redb,12.3052
budget,kv,overwrite,sqlite,9.6921
budget,kv,overwrite,worktable,34.1371
budget,kv,overwrite,worktable-arctic,31.488
budget,kv,overwrite,worktable-congee,30.8198
budget,kv,point_read,lmdb,4.1935
budget,kv,point_read,redb,4.6247
budget,kv,point_read,sqlite,8.0543
budget,kv,point_read,worktable,4.6856
budget,kv,point_read,worktable-arctic,3.9842
budget,kv,point_read,worktable-congee,3.3344
budget,kv,range_scan,lmdb,3.0541
budget,kv,range_scan,redb,4.5488
budget,kv,range_scan,sqlite,7.2336
budget,kv,range_scan,worktable,7.1805
budget,kv,range_scan,worktable-arctic,7.9969
budget,kv,range_scan,worktable-congee,7.23
