arch,suite,op,engine,median_ms
amd,kv,insert,lmdb,2.4204
amd,kv,insert,redb,5.3683
amd,kv,insert,sqlite,7.4063
amd,kv,insert,worktable,12.0506
amd,kv,insert,worktable-arctic,10.2543
amd,kv,insert,worktable-congee,10.2422
amd,kv,overwrite,lmdb,3.2227
amd,kv,overwrite,redb,5.3087
amd,kv,overwrite,sqlite,5.3345
amd,kv,overwrite,worktable,15.1095
amd,kv,overwrite,worktable-arctic,12.5885
amd,kv,overwrite,worktable-congee,13.0632
amd,kv,point_read,lmdb,2.2678
amd,kv,point_read,redb,2.3736
amd,kv,point_read,sqlite,3.9799
amd,kv,point_read,worktable,2.3344
amd,kv,point_read,worktable-arctic,1.3904
amd,kv,point_read,worktable-congee,1.5456
amd,kv,range_scan,lmdb,0.9109
amd,kv,range_scan,redb,2.491
amd,kv,range_scan,sqlite,2.7509
amd,kv,range_scan,worktable,2.5552
amd,kv,range_scan,worktable-arctic,2.657
amd,kv,range_scan,worktable-congee,2.7803
amd,kv_json,insert,lmdb-json,21.3862
amd,kv_json,insert,redb-json,173.2307
amd,kv_json,insert,worktable,12.533
amd,kv_json,insert,worktable-arctic,10.778
amd,kv_json,insert,worktable-congee,10.7273
amd,kv_json,point_get,lmdb-json,3.8427
amd,kv_json,point_get,redb-json,3.7707
amd,kv_json,point_get,worktable,1.9647
amd,kv_json,point_get,worktable-arctic,1.0407
amd,kv_json,point_get,worktable-congee,1.2921
amd,kv_json,query_field,lmdb-json,1.8375
amd,kv_json,query_field,redb-json,2.2844
amd,kv_json,query_field,worktable,1.4577
amd,kv_json,query_field,worktable-arctic,1.5068
amd,kv_json,query_field,worktable-congee,1.6978
amd,kv_json,update_field,lmdb-json,25.7815
amd,kv_json,update_field,redb-json,182.1537
amd,kv_json,update_field,worktable,6.4005
amd,kv_json,update_field,worktable-arctic,5.3538
amd,kv_json,update_field,worktable-congee,5.5474
arm,kv,insert,lmdb,2.4488
arm,kv,insert,redb,7.0545
arm,kv,insert,sqlite,9.8029
arm,kv,insert,worktable,16.595
arm,kv,insert,worktable-arctic,13.2774
arm,kv,insert,worktable-congee,13.5786
arm,kv,overwrite,lmdb,3.0506
arm,kv,overwrite,redb,6.7044
arm,kv,overwrite,sqlite,5.2783
arm,kv,overwrite,worktable,21.8507
arm,kv,overwrite,worktable-arctic,19.2763
arm,kv,overwrite,worktable-congee,19.9712
arm,kv,point_read,lmdb,2.3513
arm,kv,point_read,redb,2.5428
arm,kv,point_read,sqlite,4.3093
arm,kv,point_read,worktable,2.5174
arm,kv,point_read,worktable-arctic,1.8393
arm,kv,point_read,worktable-congee,1.8216
arm,kv,range_scan,lmdb,1.2326
arm,kv,range_scan,redb,2.6197
arm,kv,range_scan,sqlite,3.2506
arm,kv,range_scan,worktable,3.4185
arm,kv,range_scan,worktable-arctic,3.8263
arm,kv,range_scan,worktable-congee,3.809
arm,kv_json,insert,lmdb-json,31.5061
arm,kv_json,insert,redb-json,239.2162
arm,kv_json,insert,worktable,17.916
arm,kv_json,insert,worktable-arctic,14.9629
arm,kv_json,insert,worktable-congee,15.1653
arm,kv_json,point_get,lmdb-json,4.0436
arm,kv_json,point_get,redb-json,3.9188
arm,kv_json,point_get,worktable,2.1911
arm,kv_json,point_get,worktable-arctic,1.4572
arm,kv_json,point_get,worktable-congee,1.4332
arm,kv_json,query_field,lmdb-json,1.9313
arm,kv_json,query_field,redb-json,2.9028
arm,kv_json,query_field,worktable,1.9673
arm,kv_json,query_field,worktable-arctic,2.0567
arm,kv_json,query_field,worktable-congee,2.304
arm,kv_json,update_field,lmdb-json,36.3926
arm,kv_json,update_field,redb-json,246.7874
arm,kv_json,update_field,worktable,9.0747
arm,kv_json,update_field,worktable-arctic,7.9444
arm,kv_json,update_field,worktable-congee,7.9875
budget,kv,insert,lmdb,4.4311
budget,kv,insert,redb,12.3284
budget,kv,insert,sqlite,17.8025
budget,kv,insert,worktable,24.2565
budget,kv,insert,worktable-arctic,18.932
budget,kv,insert,worktable-congee,19.2397
budget,kv,overwrite,lmdb,5.2371
budget,kv,overwrite,redb,12.2991
budget,kv,overwrite,sqlite,10.403
budget,kv,overwrite,worktable,31.1868
budget,kv,overwrite,worktable-arctic,29.1339
budget,kv,overwrite,worktable-congee,28.7197
budget,kv,point_read,lmdb,4.1947
budget,kv,point_read,redb,4.6843
budget,kv,point_read,sqlite,8.3802
budget,kv,point_read,worktable,4.7097
budget,kv,point_read,worktable-arctic,3.8704
budget,kv,point_read,worktable-congee,3.2885
budget,kv,range_scan,lmdb,3.0541
budget,kv,range_scan,redb,4.5637
budget,kv,range_scan,sqlite,7.2211
budget,kv,range_scan,worktable,6.8698
budget,kv,range_scan,worktable-arctic,7.6506
budget,kv,range_scan,worktable-congee,6.9531
budget,kv_json,insert,lmdb-json,54.4589
budget,kv_json,insert,redb-json,391.4859
budget,kv_json,insert,worktable,26.857
budget,kv_json,insert,worktable-arctic,22.1553
budget,kv_json,insert,worktable-congee,21.4284
budget,kv_json,point_get,lmdb-json,7.9727
budget,kv_json,point_get,redb-json,7.7153
budget,kv_json,point_get,worktable,4.1925
budget,kv_json,point_get,worktable-arctic,2.9521
budget,kv_json,point_get,worktable-congee,2.5429
budget,kv_json,query_field,lmdb-json,4.1648
budget,kv_json,query_field,redb-json,5.6237
budget,kv_json,query_field,worktable,3.187
budget,kv_json,query_field,worktable-arctic,3.976
budget,kv_json,query_field,worktable-congee,3.6241
budget,kv_json,update_field,lmdb-json,62.9797
budget,kv_json,update_field,redb-json,407.1879
budget,kv_json,update_field,worktable,16.4644
budget,kv_json,update_field,worktable-arctic,13.7688
budget,kv_json,update_field,worktable-congee,12.9323
intel,kv,insert,lmdb,2.4159
intel,kv,insert,redb,5.3701
intel,kv,insert,sqlite,7.3851
intel,kv,insert,worktable,12.0312
intel,kv,insert,worktable-arctic,10.1768
intel,kv,insert,worktable-congee,10.2813
intel,kv,overwrite,lmdb,3.2906
intel,kv,overwrite,redb,5.3308
intel,kv,overwrite,sqlite,5.352
intel,kv,overwrite,worktable,14.9417
intel,kv,overwrite,worktable-arctic,12.3602
intel,kv,overwrite,worktable-congee,12.8581
intel,kv,point_read,lmdb,2.2559
intel,kv,point_read,redb,2.3752
intel,kv,point_read,sqlite,3.9726
intel,kv,point_read,worktable,2.3655
intel,kv,point_read,worktable-arctic,1.4384
intel,kv,point_read,worktable-congee,1.5513
intel,kv,range_scan,lmdb,0.9104
intel,kv,range_scan,redb,2.4944
intel,kv,range_scan,sqlite,2.7215
intel,kv,range_scan,worktable,2.5073
intel,kv,range_scan,worktable-arctic,2.6822
intel,kv,range_scan,worktable-congee,2.7998
intel,kv_json,insert,lmdb-json,21.4549
intel,kv_json,insert,redb-json,173.8235
intel,kv_json,insert,worktable,12.6246
intel,kv_json,insert,worktable-arctic,10.9157
intel,kv_json,insert,worktable-congee,11.0967
intel,kv_json,point_get,lmdb-json,3.7887
intel,kv_json,point_get,redb-json,3.6452
intel,kv_json,point_get,worktable,2.0943
intel,kv_json,point_get,worktable-arctic,1.2352
intel,kv_json,point_get,worktable-congee,1.2786
intel,kv_json,query_field,lmdb-json,1.8298
intel,kv_json,query_field,redb-json,2.2804
intel,kv_json,query_field,worktable,1.4919
intel,kv_json,query_field,worktable-arctic,1.4328
intel,kv_json,query_field,worktable-congee,1.7405
intel,kv_json,update_field,lmdb-json,25.589
intel,kv_json,update_field,redb-json,182.1686
intel,kv_json,update_field,worktable,6.6649
intel,kv_json,update_field,worktable-arctic,5.3757
