arch,engine,workload,rep,ops_per_second,read_p99_ns
arm,sqlite,A,1,493256.64402641694,70332
arm,sqlite,A,2,493452.0199922283,50637
arm,sqlite,A,3,493537.9752684024,63700
arm,sqlite,B,1,493357.49390496284,7985
arm,sqlite,B,2,496775.2135080255,11152
arm,sqlite,B,3,496055.61993875226,2626
arm,sqlite,C,1,497701.86289234925,7395
arm,sqlite,C,2,499198.89185833186,2400
arm,sqlite,C,3,499945.96708974184,3579
arm,sqlite,F,1,334384.04714702716,66605
arm,sqlite,F,2,334796.8234336778,51954
arm,sqlite,F,3,336192.5365512392,47208
arm,worktable,A,1,398304.8139153666,16433
arm,worktable,A,2,397532.8459625696,3172
arm,worktable,A,3,402058.70622405416,2926
arm,worktable,B,1,1446627.6353993197,1050
arm,worktable,B,2,1411704.6137690174,2382
arm,worktable,B,3,1396468.3274105736,1073
arm,worktable,C,1,2269176.2954718964,1071
arm,worktable,C,2,2154847.2129825666,3125
arm,worktable,C,3,2166887.429157949,1037
arm,worktable,F,1,380310.05176295526,16521
arm,worktable,F,2,381691.8882654785,2867
arm,worktable,F,3,382022.90299505787,3245
budget,sqlite,A,1,280256.99577723054,92529
budget,sqlite,A,2,275891.8991587354,88336
budget,sqlite,A,3,276858.9053733665,97288
budget,sqlite,B,1,292336.47530730267,7959
budget,sqlite,B,2,296979.7059957337,11397
budget,sqlite,B,3,296067.7977492778,6343
budget,sqlite,C,1,305255.4347715764,4603
budget,sqlite,C,2,305389.092287695,4964
budget,sqlite,C,3,307695.896373216,5646
budget,sqlite,F,1,197034.4287054864,97370
budget,sqlite,F,2,195269.78911957264,87671
budget,sqlite,F,3,193400.5760898386,88377
budget,worktable,A,1,258905.44837492806,24722
budget,worktable,A,2,251743.5684024483,26749
budget,worktable,A,3,253091.68930172155,7689
budget,worktable,B,1,853461.1367488704,2093
budget,worktable,B,2,788252.8475348377,3364
budget,worktable,B,3,753812.0198462423,4759
budget,worktable,C,1,1249803.4449744632,1830
budget,worktable,C,2,1190258.9044622562,1773
budget,worktable,C,3,1216214.6811560646,1854
budget,worktable,F,1,242417.3122275044,23836
budget,worktable,F,2,245958.00545973153,26010
budget,worktable,F,3,244349.46325598244,7745
intel,sqlite,A,1,628590.5801100287,64891
intel,sqlite,A,2,644997.1260701804,56071
intel,sqlite,A,3,643893.6713912472,59640
intel,sqlite,B,1,671243.3334880997,2829
intel,sqlite,B,2,680390.8324152848,2480
intel,sqlite,B,3,682755.8142571956,2610
intel,sqlite,C,1,691892.2916186386,11941
intel,sqlite,C,2,695505.0969621566,12253
intel,sqlite,C,3,699715.6159816278,2413
intel,sqlite,F,1,449649.0532979792,68051
intel,sqlite,F,2,456023.4846987157,61912
intel,sqlite,F,3,455778.61953707907,52544
intel,worktable,A,1,522772.1468348918,18710
intel,worktable,A,2,531130.364628139,11706
intel,worktable,A,3,536864.991591701,5374
intel,worktable,B,1,1541329.1814035398,1484
intel,worktable,B,2,1626062.2922674932,1197
intel,worktable,B,3,1594564.4232808892,1183
intel,worktable,C,1,2239577.404285445,1517
intel,worktable,C,2,2254726.2302955952,1225
intel,worktable,C,3,2354207.573966024,1063
intel,worktable,F,1,496926.54904826044,21217
intel,worktable,F,2,494347.8699216419,13690
intel,worktable,F,3,510922.4855688156,9238
