engine,workload,rep,ops_per_second,read_p99_ns
worktable,A,1,522772.1468348918,18710
worktable,A,2,531130.364628139,11706
worktable,A,3,536864.991591701,5374
worktable,B,1,1541329.1814035398,1484
worktable,B,2,1626062.2922674932,1197
worktable,B,3,1594564.4232808892,1183
worktable,C,1,2239577.404285445,1517
worktable,C,2,2254726.2302955952,1225
worktable,C,3,2354207.573966024,1063
worktable,F,1,496926.54904826044,21217
worktable,F,2,494347.8699216419,13690
worktable,F,3,510922.4855688156,9238
sqlite,A,1,628590.5801100287,64891
sqlite,A,2,644997.1260701804,56071
sqlite,A,3,643893.6713912472,59640
sqlite,B,1,671243.3334880997,2829
sqlite,B,2,680390.8324152848,2480
sqlite,B,3,682755.8142571956,2610
sqlite,C,1,691892.2916186386,11941
sqlite,C,2,695505.0969621566,12253
sqlite,C,3,699715.6159816278,2413
sqlite,F,1,449649.0532979792,68051
sqlite,F,2,456023.4846987157,61912
sqlite,F,3,455778.61953707907,52544
