suite,benchmark,throughput_ops_s,time_ns
kv,kv/insert/worktable,2029000,4928500
kv,kv/insert/sqlite,1644900,6079300
kv,kv/insert/redb,1041200,9604000
kv,kv/insert/lmdb,1257500,7952100
kv,kv/insert/duckdb,13522,739510000
kv,kv/point_read/worktable,6491800,1540400
kv,kv/point_read/sqlite,3479400,2874000
kv,kv/point_read/redb,6382800,1566700
kv,kv/point_read/lmdb,5464400,1830000
kv,kv/point_read/duckdb,17467,572520000
kv,kv/overwrite/worktable,298270,33527000
kv,kv/overwrite/sqlite,2678700,3733100
kv,kv/overwrite/redb,910910,10978000
kv,kv/overwrite/lmdb,1247400,8016400
kv,kv/overwrite/duckdb,11437,874320000
kv,kv/range_scan/worktable,14161000,1412400
kv,kv/range_scan/redb,17108000,1169000
kv,kv/range_scan/lmdb,24908000,802950
kv,kv/range_scan/sqlite,9167200,2181700
kv,kv/range_scan/duckdb,706630,28303000
ycsb,ycsb/throughput/A,388130,515280000
ycsb,ycsb/throughput/B,2068800,96673000
ycsb,ycsb/throughput/C,9176400,21795000
ycsb,ycsb/throughput/F,369250,541640000
ycsb,ycsb/latency_p99/A,,3581
ycsb,ycsb/latency_p99/B,,2592
ycsb,ycsb/latency_p99/C,,2445
ycsb,ycsb/latency_p99/F,,3048
ablation,insert/specialized,1702300,5874400
ablation,insert/dynamic,15324000,652590
ablation,point_read/specialized,8535800,1171500
ablation,point_read/dynamic,732330,799140
ablation,update_field/dynamic,8080900,1237500
