tier,engine,op,ops_per_sec
baseline,vec,insert,34417733
baseline,vec,point_read,381709984
baseline,rwlock_hashmap,insert,35001493
baseline,rwlock_hashmap,point_read,76178375
baseline,rwlock_hashmap,update_field,92646207
baseline,dashmap,insert,22567314
baseline,dashmap,point_read,85958321
baseline,dashmap,update_field,108548168
slotmap_baseline,slotmap,insert,26870734
slotmap_baseline,slotmap,point_read_materialized,17684639
slotmap_baseline,slotmap,select_by_secondary_scan,20699
slotmap_baseline,slotmap,update_field,89971749
vec_janky,vec_scan_json,insert,3576690
vec_janky,vec_scan_json,point_read_typed,4393822
vec_janky,vec_scan_json,select_by_secondary_scan,34231
vec_janky,vec_scan_json,update_field_scan_json,33638
vec_realistic,vec_indexed,insert,13324117
vec_realistic,vec_indexed,point_read_materialized,51987995
vec_realistic,vec_indexed,select_by_secondary,9482324
vec_realistic,vec_indexed,range_by_secondary,5128
vec_realistic,vec_indexed,update_field,325425494
ablation,specialized,insert,1262929
ablation,specialized,point_read,3271912
ablation,specialized,select_by_secondary,1832771
ablation,specialized,range_by_secondary,132901
ablation,specialized,update_field,563610
ablation,specialized,update_indexed,640177
ablation,specialized,inplace_rmw,2039464
ablation,dynamic,insert,12653889
ablation,dynamic,point_read,6391861
ablation,dynamic,update_field,6467782
